bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
V5PQH613,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
R0FHYV12,6.8,42,0.02,0.2,1.3,5.7,41.8,140.1,241.7,15.3,0.8,3,246.8,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
V5MH3F13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
J55JP913,7.5,39,0.02,6.7,2.4,10.6,2215.8,528.9,91,25.1,2.2,2.5,30.3,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range
CRPMXM13,4.3,42,0.02,0.2,1,8.3,110.7,154.4,291.3,24.5,0.6,3.1,212,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range
TW3HE115,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
V0C3H113,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
J5J60L13,7.4,46,0.03,2.4,2.6,26.6,202.9,354.2,117.5,36.5,1,1.7,56.3,27.9,Upper-range,25%-50%,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Low-range,50%-75%,Low-range,25%-50%,25%-50%,Upper-range
LDLU0P15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
ECLHPV15,5.7,54,0.03,0.2,1.7,9.6,200.4,241.2,768.8,72.4,1.4,8.6,174.8,5,Low-range,Upper-range,50%-75%,Low-range,25%-50%,Low-range,50%-75%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,Low-range
WCDPK412,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
L2CLLH15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
V3WVUT13,7.3,40,0.02,0.7,2,11.3,81.2,196.5,159.5,16.5,0.6,2.1,99.9,15.6,50%-75%,Low-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,25%-50%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,Upper-range
LKW5FY15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
PL84MK14,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
DJ050813,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
H5PXN815,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
KJLPUE12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
FACUR215,5,46,0.04,0.2,1.7,41.4,227,270.1,356.4,19.8,2.9,4.7,249.5,11.2,Low-range,25%-50%,Upper-range,Low-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Low-range,Upper-range,Upper-range,Upper-range,Upper-range
LC6TT215,5.76,59,0.09,0.1,3.0475,4.77,23.55,331.01,1049,62.6,1.693,6,73.63,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
WPRAC812,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
VJ8JCR13,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
E8UPN615,7.2,50,0.02,1.6,3.4,8.2,363.4,621,266.9,50.4,1.5,2.3,41.6,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,25%-50%,25%-50%,Low-range
E03Y7Y15,6.47,46,0.05,0.1,1.91,3.8,76,243,187,74.7,3.2,8.1,166,16.5,25%-50%,25%-50%,Upper-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range
LFRMH815,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
XQFTPU12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
KKP8EP12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
LCP6TX15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
J6C7EX13,7.6,43,0.04,1.5,2.2,35.8,246.1,558.2,172.4,45.9,2.8,1.7,45.2,47,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,25%-50%,Upper-range
JH45TA13,7.2,44,0.02,1,2.7,11.1,182.2,292.3,165.1,18.4,0.9,2.2,70.7,5,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range,50%-75%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,Low-range
YHR64Q12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
DEEHVU13,7.4,37,0.02,3.3,2.4,6.9,348.9,334.8,229.9,42.3,1.7,1.5,32.6,5,Upper-range,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,Low-range,Low-range,Low-range
H53T3W15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
E31PN615,6.6,62,0.04,0.2,1.8,11.9,116.7,257,1095.2,59.1,1.2,9.7,93.8,5,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range
UUN0K514,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
R5PPQ812,4.96,31,0.02,0.1,1.42,15.7,30,116,110,18,1.6,1.7,154,5,Low-range,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,50%-75%,25%-50%,50%-75%,Low-range
W2J4F812,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
UT6AXC14,6.95,55,0.06,2.08,3.5,21.2,310,476,302,30.8,4.6,3.9,298,14.4,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range
WA44AY12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
RA2NJJ12,6.8,42,0.02,0.2,1.3,5.7,41.8,140.1,241.7,15.3,0.8,3,246.8,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
UW0N3Q14,7.07,50,0.07,1.03,3.21,20,73,320,294,50,1.48,2.51,179,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,Low-range,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,Low-range
T03FD115,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
J0DL8Y13,7.5,40,0.02,12.9,1.7,20.8,217.7,171,116.7,15.5,0.6,1.2,8.5,5,Upper-range,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
W6CHMR12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
H7C06J15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
L2DTLQ15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
UHH1KM13,7.4,48,0.03,2.5,3.1,18.7,275.7,587,358,49.7,1,1.9,19.4,5,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
WJ6JP212,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
T0YWHF15,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
W292YF12,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
XAFTMC12,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
FKXQ4415,8.2,26,0.02,3.9,0.3,0,0,0,0,0,0,0,0,0,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
L1YLVC15,5.76,59,0.09,0.1,3.0475,4.77,23.55,331.01,1049,62.6,1.693,6,73.63,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,25%-50%,Low-range
FMYX6H15,8.2,26,0.02,3.9,0.3,0,0,0,0,0,0,0,0,0,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
KK38E312,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
UM5LR814,7.5,38,0.02,1.9,1.5,7.6,153.9,177.599632,98.195,24.361416,0.5896,0.983,23.5422,5,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,50%-75%,25%-50%,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range
JKMT4V13,7.2,51,0.02,0.8,2.1,16.6,126.6,289.4,167,12.6,0.8,1.7,45.1,10.7,50%-75%,Upper-range,Low-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,Upper-range
K2J9UF12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
XPK6P912,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
M8DWR714,6.9,48,0.06,3.6,1.8,42.6,236.2,235.4,300.4,86.1,0.7,1.1,18.2,11.6,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Low-range,Low-range,Low-range,Upper-range
DAAV6A13,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
F3RUR715,4.6,43,0.02,0.2,1.9,29.1,65.2,221.7,268.1,16.9,1.5,4.2,310,8.8,Low-range,25%-50%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Upper-range,Upper-range
H5WXE715,6.86,58,0.09,1,2.93,20,132,589,451,24.6,2.1,2.4,224,17.5,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range
R5FJ6912,4.86,35,0.02,0.08,2.34,4.2,32,149,159,8.4,2.4,2.4,83,10.3,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,25%-50%,Low-range,Upper-range,25%-50%,25%-50%,Upper-range
F3E1R215,5.5,49,0.02,0.2,2.5,9.5,97.9,207.1,543.6,17.9,3,5.5,171.9,5,Low-range,Upper-range,Low-range,Low-range,50%-75%,Low-range,25%-50%,25%-50%,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,Low-range
MHF3UR14,6.9,48,0.06,3.6,1.8,42.6,236.2,235.4,300.4,86.1,0.7,1.1,18.2,11.6,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Low-range,Low-range,Low-range,Upper-range
H2VLCN15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
WY1QPJ12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
XF7LP412,7.8,32,0.02,7.7,1.2,5.5,374.12139684,345.321648,41.77125,31.75978,1.2414,0.9562,8.6758,5,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,Low-range
RX68ER12,7.2,38,0.02,0.2,1.1,9.3,288.7,196.454272,167.53875,26.62503,1.2852,4.121,338.105,5,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Upper-range,25%-50%,25%-50%,25%-50%,25%-50%,Upper-range,Upper-range,Low-range
J8W03Y13,7.2,29,0.02,0.2,1.3,5.6,172.3,301.1,98.4,28.8,2.2,2.2,158.4,5,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range
CLQXFA13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
T575F315,6.84,40,0.04,1,2.34,15.9,95,250,115,18.1,1.4,3.6,36,12.8,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%,Low-range,Low-range,50%-75%,50%-75%,25%-50%,Upper-range
V7T4HQ13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
H5EJC815,6.86,58,0.09,1,2.93,20,132,589,451,24.6,2.1,2.4,224,17.5,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range
T2YWCD15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
DCC3L113,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
V5L40X13,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
Y3Q0JH12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
RTT8JC12,6.8,42,0.02,0.2,1.3,5.7,41.8,140.1,241.7,15.3,0.8,3,246.8,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
